language,level,context,subcontext,dialogue_txt,side,order_id,special_words
Spanish,B1,Making travel arrangements,E.ticket,Good morning. Oh no..I think I forgot my ticket. Can you wait a moment?,B,2,
Spanish,B1,Making travel arrangements,E.ticket,Would you like to buy one now? ,A,3,
Spanish,B1,Making travel arrangements,E.ticket,"No, I'm sure I have it somewhere just give me a minute. I printed off a copy yesterday evening. ",B,4,
Spanish,B1,Making travel arrangements,E.ticket,"if you can't find the paper copy, the ticket is also available on your phone sir. ",A,5,
Spanish,B1,Making travel arrangements,E.ticket,"You're right, it's right here. What do I do now?  ",B,6,
Spanish,B1,Making travel arrangements,E.ticket,"Just show me the QR code. Thank you. Now, I see you have a rail card. Please may I see it? ",A,7,
Spanish,B1,Making travel arrangements,E.ticket,Here it is. I know that this is stored on my phone. ,B,8,
Spanish,B1,Making travel arrangements,E.ticket,Thank you that is all done. Have a nice day!,A,9,
Spanish,B1,Making travel arrangements,E.ticket,Have a good day!,B,10,
Spanish,A2,Exchaning personal information,Age restricted,"Hi there, I have a package for Ms. Anna Smith?",A,1,
Spanish,A2,Exchaning personal information,Age restricted,"Hi, that's me, thanks. ",B,2,
Spanish,A2,Exchaning personal information,Age restricted,Ms. Smith can I see some ID please as the item you have ordered is age restricted. ,A,3,
Spanish,A2,Exchaning personal information,Age restricted,Oh? I don't remember ordering anything dangerous. ,B,4,
Spanish,A2,Exchaning personal information,Age restricted,I believe the package contains a set of kitchen knives. ,A,5,
Spanish,A2,Exchaning personal information,Age restricted,"Oh yes of course! Sorry, I will get my ID right away. ",B,6,
Spanish,A2,Exchaning personal information,Age restricted,Thank you. ,A,7,
Spanish,A2,Exchaning personal information,Age restricted,Here you go. ,B,8,
Spanish,A2,Exchaning personal information,Age restricted,Can you confirm your birthday for me?,A,9,
Spanish,A2,Exchaning personal information,Age restricted,17th of May 1989. ,B,10,
Spanish,A2,Exchaning personal information,Age restricted,"Thank you, here's your item. Have a good day!",A,11,
Spanish,A2,Exchaning personal information,Age restricted,"Thank you, have a good day. ",B,12,
Spanish,A1,Exchaning personal information,neighbour's parcel,"Hello there, how can I help?",A,1,
Spanish,A1,Exchaning personal information,neighbour's parcel,"Hi I have a parcel for your neighbour, but they're not home, can I leave it with you?",B,2,
Spanish,A1,Exchaning personal information,neighbour's parcel,"Sure, no problem. Which neighbour?",A,3,
Spanish,A1,Exchaning personal information,neighbour's parcel,"Number 17, down the corridor, on the left. Would you mind signing here?",B,4,
Spanish,A1,Exchaning personal information,neighbour's parcel,All done.,A,5,
Spanish,A1,Exchaning personal information,neighbour's parcel,"And just to confirm, what is your name?",B,6,
Spanish,A1,Exchaning personal information,neighbour's parcel,Sarah Smith. And that's S-A-R-A-H with a H at the end. ,A,7,
Spanish,A1,Exchaning personal information,neighbour's parcel,Thanks Sarah. Have a good day!,B,8,
Spanish,A1,Exchaning personal information,neighbour's parcel,"You too, bye. ",A,9,
Spanish,A2,Introductions,Ist day in job,"Hi, how's it going?",A,1,
Spanish,A2,Introductions,Ist day in job,"Good thanks, how are you?",B,2,
Spanish,A2,Introductions,Ist day in job,I'm great. Is it your first day today?,A,3,
Spanish,A2,Introductions,Ist day in job,Yes it is. I am quite nervous. ,B,4,
Spanish,A2,Introductions,Ist day in job,"Don't be nervous we were all new once. I'm Claire by the way, it's nice to meet you. ",A,5,
Spanish,A2,Introductions,Ist day in job,Nice to meet you too. I'm Lucy. How long have you worked for the company?,B,6,
Spanish,A2,Introductions,Ist day in job,Oh a long time. Over 5 years. How are you finding the job so far?,A,7,
Spanish,A2,Introductions,Ist day in job,Exhausting but rewarding. ,B,8,
Spanish,A2,Introductions,Ist day in job,You will get used to it don't worry. ,A,9,
Spanish,A2,Introductions,Job offer,"Good morning, am I speaking to Lucy?",A,1,
Spanish,A2,Introductions,Job offer,"Hi, yes that's me. ",B,2,
Spanish,A2,Introductions,Job offer,"Hi Lucy. I'm calling from H&M, following your interview we are delighted to offer you a position. When can you start?",A,3,
Spanish,A2,Introductions,Job offer,That's brilliant news! I am busy this weekend but I can start as soon as Monday.,B,4,
Spanish,A2,Introductions,Job offer,"That's perfect. When you come in to the shop, just ask for me, my name is Tim Brown. Can you please bring your passport so we can get the necessary paperwork done.",A,5,
Spanish,A2,Introductions,Job offer,Yes I will do. Thank you so much again. What time should we meet?,B,6,
Spanish,A2,Introductions,Job offer,How about 10am?,A,7,
Spanish,A2,Introductions,Job offer,That's perfect. See you then!,B,8,
Spanish,A2,Introductions,Job offer,Great I will see you Monday at 10 am. Bye now!,A,9,
Spanish,A2,Introductions,Job offer,Bye-bye!,B,10,
Spanish,A2,Asking and giving directions,Hospital Visit,Hi there I'm here too see Mr. Smith. ,A,1,
Spanish,A2,Asking and giving directions,Hospital Visit,"Good morning, I need the full name of the patient and the time he was taken in.",B,2,
Spanish,A2,Asking and giving directions,Hospital Visit,"David Smith, he was admitted yesterday around 9pm.",A,3,
Spanish,A2,Asking and giving directions,Hospital Visit,We are only accepting close relatives of Mr. Smith for visits at the moment. What is your relation to the patient? ,B,4,
Spanish,A2,Asking and giving directions,Hospital Visit,I'm his wife.,A,5,
Spanish,A2,Asking and giving directions,Hospital Visit,Great Mrs. Smith I just need to see some ID.,B,6,
Spanish,A2,Asking and giving directions,Hospital Visit,Here you go. ,A,7,
Spanish,A2,Asking and giving directions,Hospital Visit,Thank you. His ward is the second door on the left at the end of the corridor. ,B,8,
Spanish,A2,Asking and giving directions,Hospital Visit,Thank you very much for your help. Have a good day!,A,9,
Spanish,A2,Asking and giving directions,Hospital Visit,"Thanks, you too. ",B,10,
Spanish,B1,Going shopping and asking for prices,Cancel hair appointment,"Good morning, how can I help?",A,1,
Spanish,B1,Going shopping and asking for prices,Cancel hair appointment,"Good morning, I'd like to cancel my appointment please.",B,2,
Spanish,B1,Going shopping and asking for prices,Cancel hair appointment,When is your appointment?,A,3,
Spanish,B1,Going shopping and asking for prices,Cancel hair appointment,Today at 4pm.,B,4,
Spanish,B1,Going shopping and asking for prices,Cancel hair appointment,"We require 24 hours notice to cancel appointments, otherwise there's a cancellation charge of £20.",A,5,
Spanish,B1,Going shopping and asking for prices,Cancel hair appointment,Why do I have to pay to cancel my appointment?,B,6,
Spanish,B1,Going shopping and asking for prices,Cancel hair appointment,"Because our salon is very popular and we are often booked in advance and we don't do walk-ins. Next time, please book at time that you can make.",A,7,
Spanish,B1,Going shopping and asking for prices,Cancel hair appointment,"I have to work last minute and can't make it at 4pm anymore, I can't afford to pay for a haircut that I didn't get.",B,8,
Spanish,B1,Going shopping and asking for prices,Cancel hair appointment,"Unfortunately, that's the agreement you made when making the appointment.",A,9,
Spanish,B1,Going shopping and asking for prices,Cancel hair appointment,"Well, I will not be coming back here again.",B,10,
Spanish,A2,Ordering food and drink,Cocktails,Hi there we would like to order 2 cocktails please.,A,1,
Spanish,A2,Ordering food and drink,Cocktails,Coming right up. Would you like to start a tab for your table or pay now?,B,2,
Spanish,A2,Ordering food and drink,Cocktails,Pay now please.,A,3,
Spanish,A2,Ordering food and drink,Cocktails,Okay your total is £22.50 please.,B,4,
Spanish,A2,Ordering food and drink,Cocktails,I thought cocktails were on a 2 for 1 offer?,A,5,
Spanish,A2,Ordering food and drink,Cocktails,That deal is only valid from Monday to Thursday I’m afraid.,B,6,
Spanish,A2,Ordering food and drink,Cocktails,"Well it didn’t say that anywhere. We will leave it for now, thank you.",A,7,
Spanish,A2,Ordering food and drink,Cocktails,I’m sorry to hear that. I hope you have a good night.,B,8,
Spanish,A2,Ordering food and drink,Cocktails,"Thanks, you too.",A,9,
Spanish,A1,Ordering food and drink,Cocktails by card payment,Hi there we would like to order 2 cocktails please.,A,1,
Spanish,A1,Ordering food and drink,Cocktails by card payment,Good evening. Would you like to start a tab for your table or pay now?,B,2,
Spanish,A1,Ordering food and drink,Cocktails by card payment,Start a tab please.,A,3,
Spanish,A1,Ordering food and drink,Cocktails by card payment,Great I will just need your card details and table number please.,B,4,
Spanish,A1,Ordering food and drink,Cocktails by card payment,Our table is number 17 and here are my details.,A,5,
Spanish,A1,Ordering food and drink,Cocktails by card payment,Thank you. Just to let you know we have a 2 for 1 offer on cocktails all night and free refills on soft drinks.,B,6,
Spanish,A1,Ordering food and drink,Cocktails by card payment,Great thanks!,A,7,
Spanish,A1,Ordering food and drink,Cocktails by card payment,Thank you that is all done. Enjoy your night!,B,8,
Spanish,A1,Making invitations,Disneyland,Hi John did you get my letter?,A,1,
Spanish,A1,Making invitations,Disneyland,About your son's birthday party next week? ,B,2,
Spanish,A1,Making invitations,Disneyland,Yeah that one. ,A,3,
Spanish,A1,Making invitations,Disneyland,"Ah, unfortunately we won't be able to come. My wife planned a trip to Disneyland for the whole family and so we're going to be away all week.",B,4,
Spanish,A1,Making invitations,Disneyland,A trip to Disneyland? Your kids are lucky. Have fun and take lots of pictures! ,A,5,
Spanish,A1,Making invitations,Disneyland,Thanks I will. And sorry again for not being able to come. ,B,6,
Spanish,A1,Making invitations,Disneyland,That's okay. Have a good one!,A,7,
Spanish,A1,Making invitations,Disneyland,You too. ,B,8,
Spanish,A1,Making invitations,Help with child's birthday party,Hi Mary did you get my letter?,A,1,
Spanish,A1,Making invitations,Help with child's birthday party,Hi! About your son's birthday next week?,B,2,
Spanish,A1,Making invitations,Help with child's birthday party,Yes that one. ,A,3,
Spanish,A1,Making invitations,Help with child's birthday party,Of course! Me and the kids would be delighted. What time does it start?,B,4,
Spanish,A1,Making invitations,Help with child's birthday party,The party starts at 14:00.,A,5,
Spanish,A1,Making invitations,Help with child's birthday party,Do you need help setting up?,B,6,
Spanish,A1,Making invitations,Help with child's birthday party,I actually do. It's not easy organising a party for 30 kids. ,A,7,
Spanish,A1,Making invitations,Help with child's birthday party,I will come over at 12:00 then. ,B,8,
Spanish,A1,Making invitations,Help with child's birthday party,That would be great.  See you then. ,A,9,
Spanish,A1,Making invitations,Help with child's birthday party,See you then! ,B,10,
Spanish,A1,Exchaning personal information,Description of town,"Hi, my name is Claire.",A,1,
Spanish,A1,Exchaning personal information,Description of town,"Nice to meet you, I'm Robert.",B,2,
Spanish,A1,Exchaning personal information,Description of town,"Nice to meet you too, where are you from?",A,3,
Spanish,A1,Exchaning personal information,Description of town,"I'm from London, how about you?",B,4,
Spanish,A1,Exchaning personal information,Description of town,I'm from Cardigan.,A,5,
Spanish,A1,Exchaning personal information,Description of town,"Oh, where is that? I've never heard of it.",B,6,
Spanish,A1,Exchaning personal information,Description of town,It's a small town in the north of Wales.,A,7,
Spanish,A1,Exchaning personal information,Description of town,What is it like?,B,8,
Spanish,A1,Exchaning personal information,Description of town,It is a town close to the beach. It's also got a lovely river. You should visit sometime.,A,9,
Spanish,A1,Exchaning personal information,Description of town,I don't like going to the beach because I don't like sand. Is there anything else there to see?,B,10,
Spanish,A1,Exchaning personal information,Description of town,"Hm, there's an ancient castle, they have festivals there in the summertime. There is also a market, a museum and a theatre.",A,11,
Spanish,A1,Exchaning personal information,Description of town,"That does sound like a nice place, maybe I will visit sometime.",B,12,
Spanish,B1,Going shopping and asking for prices,Purchase of computer,"Hi, can I buy this laptop?",A,1,
Spanish,B1,Going shopping and asking for prices,Purchase of computer,"That one is quite popular, let me check if it's in stock.",B,2,
Spanish,B1,Going shopping and asking for prices,Purchase of computer,Thank you.,A,3,
Spanish,B1,Going shopping and asking for prices,Purchase of computer,"I've had a look and we don't have the black or grey in stock, however we do have the pink avaliable.",B,4,
Spanish,B1,Going shopping and asking for prices,Purchase of computer,I was hoping for a more neutral colour.,A,5,
Spanish,B1,Going shopping and asking for prices,Purchase of computer,"Unfortunately this one is very popular, the black is avaliable in another store half an hour away. Would you like me to reserve it for you? ",B,6,
Spanish,B1,Going shopping and asking for prices,Purchase of computer,"No thank you, I have already travelled 40 minutes to come here. Are there any other similar laptops you can recommend to me?",A,7,
Spanish,B1,Going shopping and asking for prices,Purchase of computer,"There is one here in grey, that has more memory and a better processor but it's more expensive.",B,8,
Spanish,B1,Going shopping and asking for prices,Purchase of computer,It's £50 outside of my price range.,A,9,
Spanish,B1,Going shopping and asking for prices,Purchase of computer,Are you a student? Because we have a student discount and that will make it £40 cheaper.,B,10,
Spanish,B1,Going shopping and asking for prices,Purchase of computer,"That's perfect, can I buy this one?",A,11,
Spanish,B1,Going shopping and asking for prices,Purchase of computer,"Of course, I'll put it behind the till for you.",B,12,
Spanish,B1,Going shopping and asking for prices,Purchase of computer,Thank you very much.,A,13,
Spanish,A1,University life,Study in cafe,"Hey, good to see you.",A,1,
Spanish,A1,University life,Study in cafe,"Hey, how's things?",B,2,
Spanish,A1,University life,Study in cafe,"Not good, I'm stressed.",A,3,
Spanish,A1,University life,Study in cafe,What's happening?,B,4,
Spanish,A1,University life,Study in cafe,I have two assignments on Monday. I can't do them both.,A,5,
Spanish,A1,University life,Study in cafe,"Well, I have the same assignments, let's study together in the library?",B,6,
Spanish,A1,University life,Study in cafe,"I don't know. I don't like the library, it's too quiet.",A,7,
Spanish,A1,University life,Study in cafe,"Let's study in a cafe then, we can drink coffee and study. ",B,8,
Spanish,A1,University life,Study in cafe,"Actually that would be nice, should we go today after class?",A,9,
Spanish,A1,University life,Study in cafe,"I'm free after class, let's meet at the cafe next door.",B,10,
Spanish,A1,University life,Study in cafe,"Okay, see you then!",A,11,
Spanish,A1,University life,Study in cafe,See you later!,B,12,
Spanish,B1,Socialising,Hair cut,"Hiya, long time no see!",A,1,
Spanish,B1,Socialising,Hair cut,"Hi, yeah, it's been ages. How are you getting on?",B,2,
Spanish,B1,Socialising,Hair cut,"I've been good, yourself? You look great by the way, did you change your hair?",A,3,
Spanish,B1,Socialising,Hair cut,"Thanks for noticing, I found this excellent new hairdresser.",B,4,
Spanish,B1,Socialising,Hair cut,Where is it?,A,5,
Spanish,B1,Socialising,Hair cut,It's not far from my house? Maybe 20 minutes by bus. It's called Serenity Salon.,B,6,
Spanish,B1,Socialising,Hair cut,"Let me write that down, I might just check it out. How much was it?",A,7,
Spanish,B1,Socialising,Hair cut,I had a cut and blowdry and a full head of colour so it was £200.,B,8,
Spanish,B1,Socialising,Hair cut,£200! That's too expensive.,A,9,
Spanish,B1,Socialising,Hair cut,"Well it is worth to have good colour. Your hair is lovely natural anyway, you don't need an expensive colour.",B,10,
Spanish,B1,Socialising,Hair cut,"Thank you for saying that, but I dye my hair at home on my own. It's about £10 at the drugstore.",A,11,
Spanish,B1,Socialising,Hair cut,"I couldn't even tell, it looks amazing. Anyway I've got to run. It was lovely seeing you.",B,12,
Spanish,B1,Socialising,Hair cut,"You as well, bye.",A,13,
Spanish,B1,Weather,Rain in station,Hey why weren't you at class this morning?,A,1,
Spanish,B1,Weather,Rain in station,Hi! Well because of the rain my station was completely flooded. I had to get a replacement bus which was 30 minutes late. ,B,2,
Spanish,B1,Weather,Rain in station,"Tell me about it. It was meant to be sunny, so I didn't bring an umbrella and got completely soaked. ",A,3,
Spanish,B1,Weather,Rain in station,This is why I always carry an umbrella. You never know. ,B,4,
Spanish,B1,Weather,Rain in station,"Anyway, do you want the notes from the class this morning?",A,5,
Spanish,B1,Weather,Rain in station,"Yes please, that would be great. ",B,6,
Spanish,B1,Weather,Rain in station,I will take a picture and send it to you later. I have to run now but it was nice talking you!,A,7,
Spanish,B1,Weather,Rain in station,Same here. See you later!,B,8,
Spanish,B1,Weather,Rain in station,Bye. And good luck for your journey home. ,A,9,
Spanish,B1,Weather,Rain in station,"Thanks, bye!",B,10,
Spanish,A1,Cross-cultural experiences,International Food,What is this?,A,1,
Spanish,A1,Cross-cultural experiences,International Food,It's tea.,B,2,
Spanish,A1,Cross-cultural experiences,International Food,What kind of tea?,A,3,
Spanish,A1,Cross-cultural experiences,International Food,"Chai tea. It's made with black tea, milk and spices. Do you like it?",B,4,
Spanish,A1,Cross-cultural experiences,International Food,"Yes, I like it. I want to make it at home. ",A,5,
Spanish,A1,Cross-cultural experiences,International Food,You can buy the spices at the supermarket.,B,6,
Spanish,A1,Cross-cultural experiences,International Food,How do I make it?,A,7,
Spanish,A1,Cross-cultural experiences,International Food,"First you boil the milk, then you add the teabag and spices.",B,8,
Spanish,A1,Cross-cultural experiences,International Food,Can you text it to me so I don't forget.,A,9,
Spanish,A1,Cross-cultural experiences,International Food,"No problem, I'll do it now.",B,10,
Spanish,A1,Cross-cultural experiences,International Food,Thank you.,A,11,
Spanish,A2,Socialising,Succulent,Is this plant real?,A,1,
Spanish,A2,Socialising,Succulent,"Yes, it's real.",B,2,
Spanish,A2,Socialising,Succulent,What kind of plant is it?,A,3,
Spanish,A2,Socialising,Succulent,It's a succulent.,B,4,
Spanish,A2,Socialising,Succulent,What is that?,A,5,
Spanish,A2,Socialising,Succulent,It's a tropical plant that doesn't need much water but needs a lot of sunlight.,B,6,
Spanish,A2,Socialising,Succulent,Do you have any other plants?,A,7,
Spanish,A2,Socialising,Succulent,"Yes I have a lot of other plants, it's my hobby. Do you have a hobby?",B,8,
Spanish,A2,Socialising,Succulent,I have many hobbies. I like painting the most.,A,9,
Spanish,A2,Socialising,Succulent,Do you have any pictures? I want to see them.,B,10,
Spanish,A2,Socialising,Succulent,"Yes, I have them on tiktok. Do you want to see?",A,11,
Spanish,A2,Socialising,Succulent,Can I follow you? Send me the link.,B,12,
Spanish,A2,Making invitations,Children at wedding,"Hey Bill, did you get my wedding invitation?",A,1,
Spanish,A2,Making invitations,Children at wedding,"I did, yes.",B,2,
Spanish,A2,Making invitations,Children at wedding,I didn't recieve your RSVP yet.,A,3,
Spanish,A2,Making invitations,Children at wedding,"Unfortunately, we won't be able to come, the invitation said that it's adults only but there won't be anyone to look after our daughter.",B,4,
Spanish,A2,Making invitations,Children at wedding,"So sorry to hear that, hopefully we can all get together another time.",A,5,
Spanish,A2,Making invitations,Children at wedding,Congratulations and thank you for inviting us anyway.,B,6,
Spanish,A2,Making invitations,Children at wedding,That's okay. Have a good one!,A,7,
Spanish,A2,Making invitations,Children at wedding,You too. ,B,8,
Spanish,A2,Making invitations,Wedding RSVP,"Hi Rachel, did you get my wedding invitation?",A,1,
Spanish,A2,Making invitations,Wedding RSVP,"I did, yes.",B,2,
Spanish,A2,Making invitations,Wedding RSVP,I didn't recieve your RSVP yet.,A,3,
Spanish,A2,Making invitations,Wedding RSVP,"I don't know if I can make it yet, I have to travel a lot for work.",B,4,
Spanish,A2,Making invitations,Wedding RSVP,"I'm booking the catering next week, so can you get back to me as soon as possible?",A,5,
Spanish,A2,Making invitations,Wedding RSVP,"Let me check my schedule, what was the date again?",B,6,
Spanish,A2,Making invitations,Wedding RSVP,March 18th.,A,7,
Spanish,A2,Making invitations,Wedding RSVP,That fits perfectly actually/ It may well be possible/ I have to check,B,8,
Spanish,A2,Making invitations,Wedding RSVP,"While I have you, which meal would you like?",A,9,
Spanish,A2,Making invitations,Wedding RSVP,"I'll have the vegetarian options please, if you don't mind.",B,10,
Spanish,A2,Making invitations,Wedding RSVP,"Thanks so much, see you soon!",A,11,
Spanish,A2,Making invitations,Wedding RSVP,Look forward to it!,B,12,
Spanish,A2,Cross-cultural experiences,Omelette,What is this?,A,1,
Spanish,A2,Cross-cultural experiences,Omelette,It's a Tortilla.,B,2,
Spanish,A2,Cross-cultural experiences,Omelette,It looks like an omelette.,A,3,
Spanish,A2,Cross-cultural experiences,Omelette,"Yes, it's an egg and potato omelette. Do you like it?",B,4,
Spanish,A2,Cross-cultural experiences,Omelette,Yes I do. How do you make it?,A,5,
Spanish,A2,Cross-cultural experiences,Omelette,"I didn't make it, my mum made it  for me. Would you like to take some home? I can put a piece in a container.",B,6,
Spanish,A2,Cross-cultural experiences,Omelette,"Oh, that would be lovely. Remind me to return your container next time I come over.",A,7,
Spanish,A2,Cross-cultural experiences,Omelette,"Don't worry, it's just an old takeaway box. It's clean.",B,8,
Spanish,A2,Cross-cultural experiences,Omelette,"Excellent, is it recycleable?",A,9,
Spanish,A2,Cross-cultural experiences,Omelette,"I think so, but you must check. ",B,10,
Spanish,B2,Work life,Meet for drinks,"Hi I haven't seen you around, are you new?",A,1,
Spanish,B2,Work life,Meet for drinks,"Hi, yeah I am! Yesterday was my first day.",B,2,
Spanish,B2,Work life,Meet for drinks,No kidding! How are you finding it so far?,A,3,
Spanish,B2,Work life,Meet for drinks,Pretty good. Everyone is really nice and the workload is managable. ,B,4,
Spanish,B2,Work life,Meet for drinks,"Yeah, it's decent for the money. I'm Clare by the way, nice to meet you. ",A,5,
Spanish,B2,Work life,Meet for drinks,Nice to meet you too. I'm Lucy. ,B,6,
Spanish,B2,Work life,Meet for drinks,"So hey, some of us are going for drinks on Friday, would you like to join us? ",A,7,
Spanish,B2,Work life,Meet for drinks,"Sure, what time?",B,8,
Spanish,B2,Work life,Meet for drinks,8pm at the bar down the road. They have 2 for 1 cocktails all night so we're going to have fun! ,A,9,
Spanish,B2,Work life,Meet for drinks,Oh great! I will see you guys there. ,B,10,
Spanish,B2,Work life,Meet for drinks,"Awesome, see you there Lucy! ",A,11,
Spanish,A2,Ordering food and drink,Cocktails,Hi there we would like to order 2 cocktails please.,A,1,
Spanish,A2,Ordering food and drink,Cocktails,Good evening. Here's the menu which one would you like?,B,2,
Spanish,A2,Ordering food and drink,Cocktails,I will have an espresso martini and my friend will have the pina colada.,A,3,
Spanish,A2,Ordering food and drink,Cocktails,"Great, coming right up. Are you going to be paying card or cash?",B,4,
Spanish,A2,Ordering food and drink,Cocktails,"Card, please. ",A,5,
Spanish,A2,Ordering food and drink,Cocktails,"There, these are ready for you. ",B,6,
Spanish,A2,Ordering food and drink,Cocktails,"We only ordered two, why are there 4 drinks?",A,7,
Spanish,A2,Ordering food and drink,Cocktails,"Oh, it is happy hour, which means all are cocktails are on a 2 for 1 offer. ",B,8,
Spanish,A2,Ordering food and drink,Cocktails,"Wow, great thanks! ",A,9,
Spanish,A2,Ordering food and drink,Cocktails,You're welcome. Enjoy your night. ,B,10,
Spanish,B1,Ordering food and drink,Ordering cocktails by barcode,"Hi there, can we order some cocktails please?",A,1,
Spanish,B1,Ordering food and drink,Ordering cocktails by barcode,"Good evening, I'm sorry but we're only taking orders through our app at the moment. If you take a seat at your table you can scan the barcode and your drinks will be delivered right to your table. ",B,2,
Spanish,B1,Ordering food and drink,Ordering cocktails by barcode,We have already waited half an hour for a table. Can't I just pay you and have my drinks?,A,3,
Spanish,B1,Ordering food and drink,Ordering cocktails by barcode,"Unfortunately, not. It is a Friday night, we're extremely busy and this system ensures everyone gets their orders on time. ",B,4,
Spanish,B1,Ordering food and drink,Ordering cocktails by barcode,I understand that but it will be another hour until we get our drinks and I'm not willing to wait that long. ,A,5,
Spanish,B1,Ordering food and drink,Ordering cocktails by barcode,"You're welcome to go somewhere else, but I can assure you all bars operate under the same policy at the moment. ",B,6,
Spanish,B1,Ordering food and drink,Ordering cocktails by barcode,We will see about that. ,A,7,
Spanish,B2,Making travel arrangements,Disneyland,Hi John did you get my letter?,A,1,
Spanish,B2,Making travel arrangements,Disneyland,About your son's birthday party next week? ,B,2,
Spanish,B2,Making travel arrangements,Disneyland,Yeah that one. ,A,3,
Spanish,B2,Making travel arrangements,Disneyland,"Ah, unfortunately we won't be able to come. My wife planned a trip to Disneyland for the whole family, so we're going to be away all week.",B,4,
Spanish,B2,Making travel arrangements,Disneyland,A trip to Disneyland? In the middle of summer? You must have got a good deal. ,A,5,
Spanish,B2,Making travel arrangements,Disneyland,We did!  Kids under the age of 8 get free entry and we're staying in an Airbnb so we're saving a lot on food and accomodation too. ,B,6,
Spanish,B2,Making travel arrangements,Disneyland,"Ah, I've heard the parking can be tricky if you're not staying inside the resort though.",A,7,
Spanish,B2,Making travel arrangements,Disneyland,"No need for parking, the Airbnb is actually only a 15 minute walk from the park!",B,8,
Spanish,B2,Making travel arrangements,Disneyland,"Wow, you really thought about everything! Well, have a good time and I will see you when you're back.",A,9,
Spanish,B2,Making travel arrangements,Disneyland,"Thanks, we will. See you later! ",B,10,
Spanish,B1,Making invitations,Offering help for Pink Unicorn Party,Hi Mary did you get my letter?,A,1,
Spanish,B1,Making invitations,Offering help for Pink Unicorn Party,Hi! About your daughter's birthday party next week?,B,2,
Spanish,B1,Making invitations,Offering help for Pink Unicorn Party,Yes that one. ,A,3,
Spanish,B1,Making invitations,Offering help for Pink Unicorn Party,Of course! Me and the kids would be delighted to attend. What time does it start?,B,4,
Spanish,B1,Making invitations,Offering help for Pink Unicorn Party,The party starts at 14:00.,A,5,
Spanish,B1,Making invitations,Offering help for Pink Unicorn Party,Do you need help setting up?,B,6,
Spanish,B1,Making invitations,Offering help for Pink Unicorn Party,I actually do. It's not easy organising a party for 20 kids. ,A,7,
Spanish,B1,Making invitations,Offering help for Pink Unicorn Party,"Yeah I know, it's hard work. Do you need me to bring anything? Food, decorations?",B,8,
Spanish,B1,Making invitations,Offering help for Pink Unicorn Party,"My daughter wanted a pink, unicorn theme so if you have any pink decorations that would be great. ",A,9,
Spanish,B1,Making invitations,Offering help for Pink Unicorn Party,I will see what I can do. Shall I meet you at your place at 12?,B,10,
Spanish,B1,Making invitations,Offering help for Pink Unicorn Party,"Yeah, that will give us enough time. Thank you so much for this. ",A,11,
Spanish,A2,Health,Visiting patient,Hi there I'm here to see Mr. Smith. ,A,1,
Spanish,A2,Health,Visiting patient,"Good morning, I need the full name of the patient and the time he was taken in.",B,2,
Spanish,A2,Health,Visiting patient,"David Smith, he was admitted yesterday around 9pm.",A,3,
Spanish,A2,Health,Visiting patient,We are only accepting close relatives of Mr. Smith for visits at the moment. What is your relationship to the patient? ,B,4,
Spanish,A2,Health,Visiting patient,I'm his wife.,A,5,
Spanish,A2,Health,Visiting patient,Great Mrs. Smith I just need to see some ID.,B,6,
Spanish,A2,Health,Visiting patient,Here you go. ,A,7,
Spanish,A2,Health,Visiting patient,Thank you. His room is the second door on the left at the end of the corridor. ,B,8,
Spanish,A2,Health,Visiting patient,How is he doing? Is he eating normally? ,A,9,
Spanish,A2,Health,Visiting patient,"Yes, he had his breakfast this morning everything seems good. The doctor is just making his rounds so you will be able to talk to him about this in more detail. ",B,10,
Spanish,B1,Work life,Job offer,"Good morning, am I speaking to Lucy?",A,1,
Spanish,B1,Work life,Job offer,"Hi, yes that's me. ",B,2,
Spanish,B1,Work life,Job offer,"Hi Lucy. I'm calling from H&M head office, following your interview we are delighted to offer you a position. Would you be able to start on Monday?",A,3,
Spanish,B1,Work life,Job offer,"That's brilliant news! I had to give 2 weeks notice at work, so I can start on Monday in 2 weeks.",B,4,
Spanish,B1,Work life,Job offer,"That's perfect. When you come in ask for me at reception, my name is Tim Brown. Can you please bring your passport so we can get the necessary paperwork done.",A,5,
Spanish,B1,Work life,Job offer,Yes I will do. Thank you so much again. What time should we meet?,B,6,
Spanish,B1,Work life,Job offer,How about 10 am?,A,7,
Spanish,B1,Work life,Job offer,That's perfect. Is there anything else I should bring? And is there a dress code or uniform? ,B,8,
Spanish,B1,Work life,Job offer,"If you have an insurance card/ national insurance number bring that along too. There's no uniform but dress smartly. Blazer, black trousers, basic office attire. ",A,9,
Spanish,B1,Work life,Job offer,"Okay, thank you so much. See you soon!",B,10,
Spanish,B1,Work life,Job offer,"My pleasure Lucy, welcome to the team. Bye! ",A,11,
Spanish,B1,Housing conditions,Delivery of packages,Hello? who is it?,A,1,
Spanish,B1,Housing conditions,Delivery of packages,"Hi, it's your neighbour from number 5.",B,2,
Spanish,B1,Housing conditions,Delivery of packages,"Oh right, is everything okay?",A,3,
Spanish,B1,Housing conditions,Delivery of packages,"Yeah, a few weeks ago my package was delivered here, do you have it?",B,4,
Spanish,B1,Housing conditions,Delivery of packages,"I don't have any packages for anyone at the moment, no.",A,5,
Spanish,B1,Housing conditions,Delivery of packages,"It says here on the delivery email that it was delivered here, and this picture shows it at your door.",B,6,
